trial,lang,sentence,masked,repaired,idx1,idx2,orig1,orig2,exact,slotScore,anywhere,ordered,fluency_score,fluency_ok,fluency_reason,gen_ms,rep_ms,judge_ms,judge_model
81,en,The cat sleeps on the warm windowsill while the rain falls softly outside.,The cat ____ on the warm windowsill while the rain falls ____ outside.,The cat sat on the warm windowsill while the rain falls softly outside.,2,11,sleeps,softly,0,1,0,0,4,true,"Natural and fluent, but slight tense mismatch (sat vs. falls).",5407,4520,8064,gpt-oss:20b
82,ko,오늘은 학교에서 친구들과 함께 점심을 먹으며 서로 웃으며 즐거운 시간을 보냈다.,오늘은 학교에서 친구들과 함께 점심을 먹으며 서로 웃으며 ____ ____ 보냈다.,오늘은 학교에서 친구들과 함께 점심을 먹으며 서로 웃으며 즐거운 시간을 보냈다.,8,9,즐거운,시간을,1,2,1,1,5,true,"문법적으로 완전하고 자연스러운 표현이며, 빈칸에 무리 없이 들어간다.",10214,9233,4998,gpt-oss:20b
83,en,The bird flies over the green meadow and sings a bright song.,The bird flies over ____ green meadow and ____ a bright song.,The bird flies over a green meadow and sings a bright song.,4,8,the,sings,0,1,1,1,5,true,"Grammatically correct, fluent, and fits the blanks naturally.",7621,8682,6010,gpt-oss:20b
84,ko,오늘 아침에 차를 세우고 커피를 마셨다 그리고 도서관에 가서 책을 읽었다.,오늘 아침에 ____ 세우고 ____ 마셨다 그리고 도서관에 가서 책을 읽었다.,오늘 아침에 커피를 세우고 물을 마셨다 그리고 도서관에 가서 책을 읽었다.,2,4,차를,커피를,0,0,0,0,2,false,세우다가 커피에 어울리지 않아 자연스럽지 않음,14073,105540,11120,gpt-oss:20b
85,en,The bird flies across the bright blue sky while the wind gently sways.,The bird flies across the bright blue ____ while the wind ____ sways.,The bird flies across the bright blue sky while the wind gently sways.,7,11,sky,gently,1,2,1,1,5,true,"Grammatically correct, fluent, and the repaired sentence fits naturally into the masked frame.",6073,7854,9438,gpt-oss:20b
86,ko,"오늘 아침에 나는 신선한 커피를 마시며 책을 읽었고, 창문 밖에는 햇살이 비추었다.",오늘 아침에 나는 신선한 커피를 마시며 책을 ____ 창문 밖에는 ____ 비추었다.,오늘 아침에 나는 신선한 커피를 마시며 책을 읽었다. 창문 밖에는 햇빛이 비추었다.,7,10,"읽었고,",햇살이,0,0,0,0,5,true,문법적으로 맞고 자연스럽게 빈칸에 들어가며 문장이 매끄럽다.,10694,16586,7857,gpt-oss:20b
87,en,The child quietly reads a book while the rain softly taps the window.,The child quietly reads a book while the rain softly taps ____ ____,The child quietly reads a book while the rain softly taps on the window.,11,12,the,window.,0,0,0,0,2,false,"Grammar and fluency are fine, but the repair adds three words instead of the two expected by the blanks, so it does not fit the masked frame.",4987,3459,9681,gpt-oss:20b
88,ko,"오늘은 바람이 부드럽고 햇빛이 따뜻해 보이며, 새들이 노래를 부르며, 산책길이 평화롭습니다.","오늘은 바람이 ____ 햇빛이 따뜻해 보이며, 새들이 노래를 ____ 산책길이 평화롭습니다.","오늘은 바람이 부는 햇빛이 따뜻해 보이며, 새들이 노래를 부르는 산책길이 평화롭습니다.",2,8,부드럽고,"부르며,",0,0,0,0,2,false,문장 구조가 어색하고 '바람이 부는 햇빛'이라는 표현이 자연스럽지 않음,24120,12988,15154,gpt-oss:20b
89,en,The cat slept peacefully on the warm windowsill during the bright afternoon.,The cat slept peacefully on the warm windowsill ____ the bright ____,The cat slept peacefully on the warm windowsill in the bright sunlight.,8,11,during,afternoon.,0,0,0,0,5,true,"The repair is grammatically correct, fluent, and naturally completes the masked sentence.",5251,9304,6261,gpt-oss:20b
90,ko,봄바람이 부드럽게 산책로를 가득 채워서 사람들은 기분 좋은 웃음을 나눠요.,봄바람이 부드럽게 산책로를 가득 ____ 사람들은 기분 ____ 웃음을 나눠요.,봄바람이 부드럽게 산책로를 가득 채우고 사람들은 기분 좋은 웃음을 나눠요.,4,7,채워서,좋은,0,1,0,0,5,true,문법적으로 맞고 자연스러우며 빈칸에 무리 없이 들어감,10473,34348,9484,gpt-oss:20b
91,en,"The sun rises over the quiet valley, bringing light to all living things.","The sun rises ____ the quiet valley, bringing ____ to all living things.","The sun rises over the quiet valley, bringing light to all living things.",3,8,over,light,1,2,1,1,5,true,"Grammatically correct, fluent, and the repaired words fit naturally into the masked sentence.",7762,4920,4587,gpt-oss:20b
93,en,The cat sat on the mat and purred softly quietly.,The ____ ____ on the mat and purred softly quietly.,The cat sat on the mat and purred softly quietly.,1,2,cat,sat,1,2,1,1,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked structure.",6639,7955,4467,gpt-oss:20b
94,ko,나는 오늘 아침에 커피를 마시며 책을 읽으며 시간을 보냈다 그리고 친구와 함께 걸었다.,나는 오늘 아침에 커피를 마시며 책을 ____ 시간을 보냈다 그리고 친구와 ____ 걸었다.,나는 오늘 아침에 커피를 마시며 책을 읽으며 시간을 보냈다 그리고 친구와 함께 걸었다.,6,11,읽으며,함께,1,2,1,1,5,true,"문법적으로 올바르고 자연스러운 표현이며, 빈칸에 무리 없이 들어가며 의미도 일관됩니다.",14397,23239,8105,gpt-oss:20b
95,en,"The cat sleeps quietly on the warm windowsill, watching the rain fall outside.","The cat ____ quietly on ____ warm windowsill, watching the rain fall outside.","The cat sat quietly on the warm windowsill, watching the rain fall outside.",2,5,sleeps,the,0,1,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and fits naturally into the masked frame.",6676,4093,4824,gpt-oss:20b
97,en,The book on the table will be read by many people.,The book on ____ ____ will be read by many people.,The book on the future will be read by many people.,3,4,the,table,0,1,0,0,5,true,"Grammatically correct, fluent, and the phrase ""the future"" naturally completes the masked sentence.",6340,11904,6352,gpt-oss:20b
98,ko,"오늘 아침에 나는 커피를 마시며 책을 읽었고, 그때는 창밖에 비가 내리며 시원한 바람이 불었다.","오늘 아침에 나는 커피를 마시며 ____ 읽었고, 그때는 ____ 비가 내리며 시원한 바람이 불었다.","오늘 아침에 나는 커피를 마시며 책을 읽었고, 그때는 갑자기 비가 내리며 시원한 바람이 불었다.",5,8,책을,창밖에,0,1,0,0,5,true,문법적으로 맞고 자연스러우며 빈칸에 잘 맞음,15615,22808,11499,gpt-oss:20b
99,en,The cat sat on the mat and watched the birds outside.,The cat sat on the mat ____ ____ the birds outside.,The cat sat on the mat while watching the birds outside.,6,7,and,watched,0,0,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and naturally completes the masked frame.",5466,5590,6616,gpt-oss:20b
100,ko,"오늘 아침에 나는 커피를 마시며 책을 읽었고, 그때 밖은 맑았다.",오늘 아침에 나는 커피를 마시며 책을 ____ 그때 밖은 ____,오늘 아침에 나는 커피를 마시며 책을 읽었다 그때 밖은 추웠다.,6,9,"읽었고,",맑았다.,0,0,0,0,5,true,문법적으로 완전하고 자연스러운 문장입니다. 빈칸에 '읽었다'와 '추웠다'가 잘 맞아 들어가며 의미도 부드럽습니다.,18298,11751,6637,gpt-oss:20b
